,ticker,sector,sub-industry,returns,totalYears
283,AMWD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",0.7027027027027027,37
284,AMWL,Healthcare,Health Information Services,0.0,3
285,AMX,Communication Services,Telecom Services,0.43478260869565216,23
286,AN,Consumer Cyclical,Auto & Truck Dealerships,0.5757575757575758,33
287,ANAB,Healthcare,Biotechnology,0.2857142857142857,7
288,ANDE,Consumer Defensive,Food Distribution,0.4642857142857143,28
289,ANEB,Healthcare,Biotechnology,1.0,2
290,ANET,Technology,Computer Hardware,0.6666666666666666,9
291,ANF,Consumer Cyclical,Apparel Retail,0.7037037037037037,27
292,ANGH,Communication Services,Entertainment,0.6666666666666666,3
293,ANGI,Communication Services,Internet Content & Information,0.5,12
294,ANGO,Healthcare,Medical Instruments & Supplies,0.47368421052631576,19
295,ANIK,Healthcare,Drug Manufacturers - Specialty & Generic,0.6333333333333333,30
296,ANIP,Healthcare,Drug Manufacturers - Specialty & Generic,0.5652173913043478,23
297,ANIX,Healthcare,Biotechnology,0.55,40
298,ANL,Healthcare,Biotechnology,,0
299,ANNX,Healthcare,Biotechnology,0.3333333333333333,3
300,ANRO,Healthcare,Biotechnology,,0
301,ANSC,Financial Services,Shell Companies,,0
302,ANSCU,Financial Services,Shell Companies,,0
303,ANTE,Communication Services,Advertising Agencies,0.5625,16
304,ANTX,Healthcare,Biotechnology,0.0,2
305,ANVS,Healthcare,Biotechnology,0.5,4
306,ANY,Financial Services,Capital Markets,0.4,10
307,AOD,Financial Services,Asset Management,0.7058823529411765,17
308,AOMR,Real Estate,REIT - Mortgage,1.0,2
309,AON,Financial Services,Insurance Brokers,0.6046511627906976,43
310,AORT,Healthcare,Medical Devices,0.45161290322580644,31
311,AOSL,Technology,Semiconductors,0.42857142857142855,14
312,AOUT,Consumer Cyclical,Leisure,0.3333333333333333,3
313,AP,Industrials,Metal Fabrication,0.6862745098039216,51
314,APA,Energy,Oil & Gas E&P,0.5454545454545454,44
315,APAM,Financial Services,Asset Management,0.6363636363636364,11
316,APCX,Technology,Software - Infrastructure,0.8,10
317,APD,Basic Materials,Specialty Chemicals,0.7272727272727273,44
318,APDN,Healthcare,Diagnostics & Research,0.35,20
319,APEI,Consumer Defensive,Education & Training Services,0.5625,16
320,APGE,Healthcare,Biotechnology,,0
321,APH,Technology,Electronic Components,0.5625,32
322,API,Technology,Software - Application,0.3333333333333333,3
323,APLD,Technology,Information Technology Services,0.5,2
324,APLE,Real Estate,REIT - Hotel & Motel,0.5,8
325,APLM,Healthcare,Biotechnology,0.5,2
326,APLS,Healthcare,Biotechnology,0.8333333333333334,6
327,APLT,Healthcare,Biotechnology,0.75,4
328,APM,Healthcare,Biotechnology,0.4,5
329,APOG,Industrials,Building Products & Equipment,0.54,50
330,APOS,,,,0
331,APP,Technology,Software - Application,0.3333333333333333,3
332,APPF,Technology,Software - Application,0.25,8
333,APPN,Technology,Software - Infrastructure,0.3333333333333333,6
334,APPS,Technology,Software - Application,0.6470588235294118,17
335,APRE,Healthcare,Biotechnology,0.25,4
336,APT,Industrials,Building Products & Equipment,0.52,25
337,APTV,Consumer Cyclical,Auto Parts,0.5,12
338,APVO,Healthcare,Biotechnology,0.2857142857142857,7
339,APWC,Industrials,Electrical Equipment & Parts,0.5,20
340,APXI,Financial Services,Shell Companies,1.0,2
341,APXIU,Financial Services,Shell Companies,1.0,2
342,APYX,Healthcare,Medical Devices,0.0,5
343,AQB,Consumer Defensive,Farm Products,0.2857142857142857,7
344,AQMS,Industrials,Waste Management,0.625,8
345,AQN,Utilities,Utilities - Renewable,0.7142857142857143,14
346,AQST,Healthcare,Drug Manufacturers - Specialty & Generic,0.6,5
347,AQU,Financial Services,Shell Companies,0.0,1
348,AQUNU,Financial Services,Shell Companies,1.0,1
349,AR,Energy,Oil & Gas E&P,0.5,10
350,ARAY,Healthcare,Medical Devices,0.5882352941176471,17
351,ARBB,Technology,Information Technology Services,1.0,1
352,ARBE,Technology,Software - Infrastructure,0.3333333333333333,3
353,ARBK,Financial Services,Capital Markets,1.0,2
354,ARBKL,,,1.0,2
355,ARCB,Industrials,Trucking,0.3870967741935484,31
356,ARCC,Financial Services,Asset Management,0.5789473684210527,19
357,ARCH,Basic Materials,Coking Coal,0.14285714285714285,7
358,ARCO,Consumer Cyclical,Restaurants,0.5384615384615384,13
359,ARCT,Healthcare,Biotechnology,0.6,10
360,ARDC,Financial Services,Asset Management,0.7272727272727273,11
361,ARDX,Healthcare,Biotechnology,0.6666666666666666,9
362,ARE,Real Estate,REIT - Office,0.5769230769230769,26
363,AREC,Basic Materials,Coking Coal,0.3333333333333333,6
364,AREN,Communication Services,Internet Content & Information,0.5,16
365,ARES,Financial Services,Asset Management,0.5555555555555556,9
366,ARGD,,,0.7272727272727273,11
367,ARGX,Healthcare,Biotechnology,0.3333333333333333,6
368,ARHS,Consumer Cyclical,Home Improvement Retail,0.5,2
369,ARI,Real Estate,REIT - Mortgage,0.5,14
370,ARIS,Utilities,Utilities - Regulated Water,0.5,2
371,ARKR,Consumer Cyclical,Restaurants,0.5263157894736842,38
372,ARL,Real Estate,Real Estate Services,0.5952380952380952,42
373,ARLO,Industrials,Building Products & Equipment,0.4,5
374,ARLP,Energy,Thermal Coal,0.5416666666666666,24
375,ARM,Technology,Semiconductors,,0
376,ARMK,Industrials,Specialty Business Services,0.5,10
377,ARMN,Basic Materials,Gold,0.6153846153846154,13
378,ARMP,Healthcare,Biotechnology,0.4827586206896552,29
379,AROC,Energy,Oil & Gas Equipment & Services,0.6875,16
380,ARQ,Industrials,Pollution & Treatment Controls,0.65,20
381,ARQQ,Technology,Software - Infrastructure,0.3333333333333333,3
382,ARQT,Healthcare,Biotechnology,0.75,4
383,ARR,Real Estate,REIT - Mortgage,0.5,16
384,ARRY,Technology,Solar,0.0,3
385,ARTL,Healthcare,Biotechnology,0.75,4
386,ARTNA,Utilities,Utilities - Regulated Water,0.5333333333333333,30
387,ARVN,Healthcare,Biotechnology,0.6,5
388,ARW,Technology,Electronics & Computer Distribution,0.7045454545454546,44
389,ARWR,Healthcare,Biotechnology,0.6,30
390,AS,Consumer Cyclical,Leisure,,0
391,ASA,Financial Services,Asset Management,0.5434782608695652,46
392,ASAI,Consumer Defensive,Grocery Stores,0.6666666666666666,3
393,ASAN,Technology,Software - Application,0.3333333333333333,3
394,ASB,Financial Services,Banks - Regional,0.5909090909090909,44
395,ASC,Industrials,Marine Shipping,0.6,10
396,ASG,Financial Services,Asset Management,0.5263157894736842,38
397,ASGI,,,0.6666666666666666,3
398,ASGN,Technology,Information Technology Services,0.5806451612903226,31
399,ASH,Basic Materials,Specialty Chemicals,0.6363636363636364,44
400,ASIX,Basic Materials,Chemicals,0.5714285714285714,7
401,ASLE,Industrials,Airports & Air Services,0.2,5
402,ASM,Basic Materials,Other Precious Metals & Mining,0.6111111111111112,18
403,ASMB,Healthcare,Biotechnology,0.46153846153846156,13
404,ASND,Healthcare,Biotechnology,0.5555555555555556,9
405,ASNS,Technology,Communication Equipment,1.0,1
406,ASO,Consumer Cyclical,Specialty Retail,0.6666666666666666,3
407,ASPI,Basic Materials,Chemicals,1.0,1
408,ASPN,Industrials,Building Products & Equipment,0.2222222222222222,9
409,ASPS,Real Estate,Real Estate Services,0.2857142857142857,14
410,ASR,Industrials,Airports & Air Services,0.6956521739130435,23
411,ASRT,Healthcare,Drug Manufacturers - Specialty & Generic,0.7307692307692307,26
412,ASRV,Financial Services,Banks - Regional,0.5897435897435898,39
413,ASTC,Industrials,Aerospace & Defense,0.5714285714285714,28
414,ASTE,Industrials,Farm & Heavy Construction Machinery,0.7297297297297297,37
415,ASTH,Healthcare,Medical Care Facilities,0.7333333333333333,15
416,ASTI,Technology,Solar,1.0,1
417,ASTL,Basic Materials,Steel,0.6666666666666666,3
418,ASTS,Technology,Communication Equipment,0.0,4
419,ASUR,Technology,Software - Application,0.4375,32
420,ASX,Technology,Semiconductors,0.6956521739130435,23
421,ASYS,Technology,Semiconductor Equipment & Materials,0.525,40
422,ATAT,Consumer Cyclical,Lodging,1.0,1
423,ATCH,Technology,Software - Infrastructure,0.3333333333333333,3
424,ATCOL,,,0.5,2
425,ATEC,Healthcare,Medical Devices,0.47058823529411764,17
426,ATEK,Financial Services,Shell Companies,0.5,2
427,ATEN,Technology,Software - Infrastructure,0.4,10
428,ATEX,Communication Services,Telecom Services,0.6666666666666666,9
429,ATGE,Consumer Defensive,Education & Training Services,0.5625,32
430,ATGL,Technology,Software - Infrastructure,,0
431,ATHA,Healthcare,Biotechnology,1.0,3
432,ATHE,Healthcare,Biotechnology,0.5,20
433,ATHM,Communication Services,Internet Content & Information,0.8,10
434,ATHS,,,,0
435,ATI,Industrials,Metal Fabrication,0.7083333333333334,24
436,ATIF,Financial Services,Capital Markets,0.75,4
437,ATIP,Healthcare,Medical Care Facilities,0.6666666666666666,3
438,ATKR,Industrials,Electrical Equipment & Parts,0.7142857142857143,7
439,ATLC,Financial Services,Credit Services,0.48,25
440,ATLCL,,,0.5,2
441,ATLCP,Financial Services,Credit Services,0.0,2
442,ATLO,Financial Services,Banks - Regional,0.5416666666666666,24
443,ATLX,Basic Materials,Other Industrial Metals & Mining,1.0,1
444,ATMC,Financial Services,Shell Companies,1.0,1
445,ATMCU,Financial Services,Shell Companies,0.0,1
446,ATMP,,,0.5454545454545454,11
447,ATMU,Industrials,Pollution & Treatment Controls,,0
448,ATMV,Financial Services,Shell Companies,1.0,1
449,ATMVU,Financial Services,Shell Companies,0.0,1
450,ATNF,Healthcare,Biotechnology,0.3333333333333333,6
451,ATNM,Healthcare,Biotechnology,0.36363636363636365,11
452,ATO,Utilities,Utilities - Regulated Gas,0.55,40
453,ATOM,Technology,Semiconductor Equipment & Materials,0.5714285714285714,7
454,ATOS,Healthcare,Biotechnology,0.7272727272727273,11
455,ATPC,Consumer Defensive,Packaged Foods,,0
456,ATR,Healthcare,Medical Instruments & Supplies,0.6129032258064516,31
457,ATRA,Healthcare,Biotechnology,0.5555555555555556,9
458,ATRC,Healthcare,Medical Instruments & Supplies,0.5,18
459,ATRO,Industrials,Aerospace & Defense,0.6363636363636364,44
460,ATSG,Industrials,Airlines,0.5,20
461,ATUS,Communication Services,Telecom Services,0.5,6
462,ATXG,Industrials,Integrated Freight & Logistics,0.5,6
463,ATXI,Healthcare,Biotechnology,0.6666666666666666,6
464,ATXS,Healthcare,Biotechnology,0.625,8
465,ATYR,Healthcare,Biotechnology,0.75,8
466,AU,Basic Materials,Gold,0.56,25
467,AUB,Financial Services,Banks - Regional,0.4666666666666667,30
468,AUBN,Financial Services,Banks - Regional,0.6071428571428571,28
469,AUDC,Technology,Communication Equipment,0.5,24
470,AUGX,Healthcare,Health Information Services,0.6666666666666666,3
471,AUID,Technology,Software - Infrastructure,0.0,2
472,AUMN,Basic Materials,Other Precious Metals & Mining,0.7142857142857143,14
473,AUNA,Healthcare,Medical Care Facilities,,0
474,AUPH,Healthcare,Biotechnology,0.7777777777777778,9
475,AUR,Technology,Information Technology Services,1.0,2
476,AURA,Healthcare,Biotechnology,0.5,2
477,AUST,Basic Materials,Gold,1.0,1
478,AUUD,Technology,Software - Application,0.0,3
479,AVA,Utilities,Utilities - Diversified,0.5686274509803921,51
480,AVAH,Healthcare,Medical Care Facilities,0.6666666666666666,3
481,AVAL,Financial Services,Banks - Regional,0.6666666666666666,9
